date,tow.id,probe,location,position,event,time,
2022-08-05,GP051FR1,Star Oddi DST-TD,footrope,center,liftoff,12:21:07,
2022-08-05,GP052F,Star Oddi DST-TD,footrope,center,touchdown,13:28:01,
2022-08-05,GP052F,Star Oddi DST-TD,footrope,center,liftoff,13:33:11,
2022-08-05,GP069F,Star Oddi DST-TD,footrope,center,touchdown,15:34:11,
2022-08-05,GP069F,Star Oddi DST-TD,footrope,center,liftoff,15:39:00,
2022-08-05,GP062F,Star Oddi DST-TD,footrope,center,touchdown,16:57:01,
2022-08-05,GP062F,Star Oddi DST-TD,footrope,center,liftoff,17:02:25,
2022-08-05,GP053F,Star Oddi DST-TD,footrope,center,touchdown,18:12:12,
2022-08-05,GP053F,Star Oddi DST-TD,footrope,center,liftoff,18:18:06,
2022-08-06,GP001F,Star Oddi DST-TD,footrope,center,touchdown,05:43:46,
2022-08-06,GP001F,Star Oddi DST-TD,footrope,center,liftoff,05:48:46,
2022-08-06,GP003F,Star Oddi DST-TD,footrope,center,touchdown,07:06:59,
2022-08-06,GP003F,Star Oddi DST-TD,footrope,center,liftoff,07:11:38,
2022-08-10,GP002FR1,Star Oddi DST-TD,footrope,center,touchdown,05:49:10,
2022-08-10,GP002FR1,Star Oddi DST-TD,footrope,center,liftoff,05:53:39,
2022-08-10,GP004F,Star Oddi DST-TD,footrope,center,touchdown,07:53:16,
2022-08-10,GP004F,Star Oddi DST-TD,footrope,center,liftoff,07:57:37,
2022-08-10,GP006F,Star Oddi DST-TD,footrope,center,touchdown,09:23:19,
2022-08-10,GP006F,Star Oddi DST-TD,footrope,center,liftoff,09:28:33,
2022-08-10,GP005F,Star Oddi DST-TD,footrope,center,touchdown,10:51:09,
2022-08-10,GP005F,Star Oddi DST-TD,footrope,center,liftoff,10:56:16,
2022-08-10,GP007F,Star Oddi DST-TD,footrope,center,touchdown,12:22:36,
2022-08-10,GP007F,Star Oddi DST-TD,footrope,center,liftoff,12:27:42,
2022-08-10,GP008F,Star Oddi DST-TD,footrope,center,touchdown,13:39:47,
2022-08-10,GP008F,Star Oddi DST-TD,footrope,center,liftoff,13:44:53,
2022-08-10,GP009F,Star Oddi DST-TD,footrope,center,touchdown,14:57:01,
2022-08-10,GP009F,Star Oddi DST-TD,footrope,center,liftoff,15:02:16,
2022-08-10,GP011F,Star Oddi DST-TD,footrope,center,touchdown,15:56:47,
2022-08-10,GP011F,Star Oddi DST-TD,footrope,center,liftoff,16:00:55,
2022-08-10,GP010F,Star Oddi DST-TD,footrope,center,touchdown,16:49:30,
2022-08-10,GP010F,Star Oddi DST-TD,footrope,center,liftoff,16:54:16,
2022-08-10,GP012F,Star Oddi DST-TD,footrope,center,touchdown,18:30:41,
2022-08-10,GP012F,Star Oddi DST-TD,footrope,center,liftoff,18:35:06,
2022-08-10,GP013F,Star Oddi DST-TD,footrope,center,touchdown,20:07:38,
2022-08-10,GP013F,Star Oddi DST-TD,footrope,center,liftoff,20:12:47,
2022-08-13,GP161F,Star Oddi DST-TD,footrope,center,touchdown,05:59:11,
2022-08-13,GP161F,Star Oddi DST-TD,footrope,center,liftoff,06:04:22,
2022-08-13,GP160F,Star Oddi DST-TD,footrope,center,touchdown,07:20:55,
2022-08-13,GP160F,Star Oddi DST-TD,footrope,center,liftoff,07:25:46,
2022-08-13,GP140FR1,Star Oddi DST-TD,footrope,center,touchdown,10:53:42,
2022-08-13,GP140FR1,Star Oddi DST-TD,footrope,center,liftoff,10:58:59,
2022-08-13,GP146F,Star Oddi DST-TD,footrope,center,touchdown,12:15:35,
2022-08-13,GP146F,Star Oddi DST-TD,footrope,center,liftoff,12:20:40,
2022-08-13,GP116F,Star Oddi DST-TD,footrope,center,touchdown,13:10:30,
2022-08-13,GP116F,Star Oddi DST-TD,footrope,center,liftoff,13:15:06,
2022-08-13,GP117F,Star Oddi DST-TD,footrope,center,touchdown,14:12:12,
2022-08-13,GP117F,Star Oddi DST-TD,footrope,center,liftoff,14:17:27,
2022-08-13,GP097F,Star Oddi DST-TD,footrope,center,touchdown,15:19:54,
2022-08-13,GP097F,Star Oddi DST-TD,footrope,center,liftoff,15:25:03,
2022-08-13,GP090F,Star Oddi DST-TD,footrope,center,touchdown,16:48:03,
2022-08-13,GP090F,Star Oddi DST-TD,footrope,center,liftoff,16:54:23,
2022-08-13,GP079F,Star Oddi DST-TD,footrope,center,touchdown,17:59:48,
2022-08-13,GP079F,Star Oddi DST-TD,footrope,center,liftoff,18:05:21,
2022-08-13,GP104F,Star Oddi DST-TD,footrope,center,touchdown,19:11:06,
2022-08-13,GP104F,Star Oddi DST-TD,footrope,center,liftoff,19:16:00,
2022-08-13,GP091F,Star Oddi DST-TD,footrope,center,touchdown,20:28:50,
2022-08-13,GP091F,Star Oddi DST-TD,footrope,center,liftoff,20:33:57,
2022-08-14,GP014F,Star Oddi DST-TD,footrope,center,touchdown,06:09:37,
2022-08-14,GP014F,Star Oddi DST-TD,footrope,center,liftoff,06:14:46,
2022-08-14,GP020F,Star Oddi DST-TD,footrope,center,touchdown,07:29:07,
2022-08-14,GP020F,Star Oddi DST-TD,footrope,center,liftoff,07:34:29,
2022-08-14,GP021F,Star Oddi DST-TD,footrope,center,touchdown,08:11:19,
2022-08-14,GP021F,Star Oddi DST-TD,footrope,center,liftoff,08:16:43,
2022-08-14,GP015F,Star Oddi DST-TD,footrope,center,touchdown,09:53:17,
2022-08-14,GP015F,Star Oddi DST-TD,footrope,center,liftoff,09:57:52,
2022-08-14,GP017F,Star Oddi DST-TD,footrope,center,touchdown,10:48:48,
2022-08-14,GP017F,Star Oddi DST-TD,footrope,center,liftoff,10:53:55,
2022-08-14,GP037F,Star Oddi DST-TD,footrope,center,touchdown,12:44:05,
2022-08-14,GP037F,Star Oddi DST-TD,footrope,center,liftoff,12:48:50,
2022-08-14,GP029FR1,Star Oddi DST-TD,footrope,center,touchdown,14:27:51,
2022-08-14,GP029FR1,Star Oddi DST-TD,footrope,center,liftoff,14:33:35,
2022-08-14,GP058F,Star Oddi DST-TD,footrope,center,touchdown,16:13:23,
2022-08-14,GP058F,Star Oddi DST-TD,footrope,center,liftoff,16:19:01,
2022-08-14,GP059F,Star Oddi DST-TD,footrope,center,touchdown,18:00:45,
2022-08-14,GP059F,Star Oddi DST-TD,footrope,center,liftoff,18:05:50,
2022-08-15,GP034FR1,Star Oddi DST-TD,footrope,center,touchdown,06:10:04,
2022-08-15,GP034FR1,Star Oddi DST-TD,footrope,center,liftoff,06:14:58,
2022-08-15,GP027F,Star Oddi DST-TD,footrope,center,touchdown,07:40:30,
2022-08-15,GP027F,Star Oddi DST-TD,footrope,center,liftoff,07:45:34,
2022-08-15,GP033F,Star Oddi DST-TD,footrope,center,touchdown,08:56:28,
2022-08-15,GP033F,Star Oddi DST-TD,footrope,center,liftoff,09:01:54,
2022-08-15,GP057F,Star Oddi DST-TD,footrope,center,touchdown,10:16:59,
2022-08-15,GP057F,Star Oddi DST-TD,footrope,center,liftoff,10:23:32,
2022-08-15,GP038F,Star Oddi DST-TD,footrope,center,touchdown,12:03:00,
2022-08-15,GP038F,Star Oddi DST-TD,footrope,center,liftoff,12:08:10,
2022-08-15,GP035F,Star Oddi DST-TD,footrope,center,touchdown,13:21:48,
2022-08-15,GP035F,Star Oddi DST-TD,footrope,center,liftoff,13:26:57,
2022-08-15,GP064FR1,Star Oddi DST-TD,footrope,center,touchdown,19:20:49,
2022-08-15,GP064FR1,Star Oddi DST-TD,footrope,center,liftoff,19:26:08,
2022-08-15,GP056F,Star Oddi DST-TD,footrope,center,touchdown,20:14:45,
2022-08-15,GP056F,Star Oddi DST-TD,footrope,center,liftoff,20:22:19,
2022-08-16,GP074F,Star Oddi DST-TD,footrope,center,touchdown,06:30:19,
2022-08-16,GP074F,Star Oddi DST-TD,footrope,center,liftoff,06:35:32,
2022-08-16,GP065F,Star Oddi DST-TD,footrope,center,touchdown,07:54:23,
2022-08-16,GP065F,Star Oddi DST-TD,footrope,center,liftoff,07:59:58,
2022-08-16,GP073F,Star Oddi DST-TD,footrope,center,touchdown,09:19:17,
2022-08-16,GP073F,Star Oddi DST-TD,footrope,center,liftoff,09:24:44,
2022-08-16,GP118F,Star Oddi DST-TD,footrope,center,touchdown,10:34:50,
2022-08-16,GP118F,Star Oddi DST-TD,footrope,center,liftoff,10:39:43,
2022-08-16,GP071F,Star Oddi DST-TD,footrope,center,touchdown,11:37:37,
2022-08-16,GP071F,Star Oddi DST-TD,footrope,center,liftoff,11:43:30,
2022-08-16,GP060F,Star Oddi DST-TD,footrope,center,touchdown,13:42:30,
2022-08-16,GP060F,Star Oddi DST-TD,footrope,center,liftoff,13:47:30,
2022-08-16,GP087F,Star Oddi DST-TD,footrope,center,touchdown,15:11:30,
2022-08-16,GP087F,Star Oddi DST-TD,footrope,center,liftoff,15:16:27,
2022-08-16,GP100F,Star Oddi DST-TD,footrope,center,touchdown,16:14:53,
2022-08-16,GP100F,Star Oddi DST-TD,footrope,center,liftoff,16:20:12,
2022-08-16,GP101F,Star Oddi DST-TD,footrope,center,touchdown,17:51:17,
2022-08-16,GP101F,Star Oddi DST-TD,footrope,center,liftoff,17:56:26,
2022-08-16,GP082F,Star Oddi DST-TD,footrope,center,touchdown,18:55:00,
2022-08-16,GP082F,Star Oddi DST-TD,footrope,center,liftoff,19:00:04,
2022-08-16,GP075F,Star Oddi DST-TD,footrope,center,touchdown,19:59:59,
2022-08-16,GP075F,Star Oddi DST-TD,footrope,center,liftoff,20:05:10,
2022-08-17,GP114F,Star Oddi DST-TD,footrope,center,touchdown,06:04:09,
2022-08-17,GP114F,Star Oddi DST-TD,footrope,center,liftoff,06:09:38,
2022-08-17,GP139F,Star Oddi DST-TD,footrope,center,touchdown,07:16:02,
2022-08-17,GP139F,Star Oddi DST-TD,footrope,center,liftoff,07:21:57,
2022-08-17,GP126F,Star Oddi DST-TD,footrope,center,touchdown,08:21:23,
2022-08-17,GP126F,Star Oddi DST-TD,footrope,center,liftoff,08:26:38,
2022-08-17,GP157F,Star Oddi DST-TD,footrope,center,touchdown,12:13:33,
2022-08-17,GP157F,Star Oddi DST-TD,footrope,center,liftoff,12:18:43,
2022-08-17,GP172F,Star Oddi DST-TD,footrope,center,touchdown,13:14:50,
2022-08-17,GP172F,Star Oddi DST-TD,footrope,center,liftoff,13:20:54,
2022-08-17,GP183F,Star Oddi DST-TD,footrope,center,touchdown,14:38:33,
2022-08-17,GP183F,Star Oddi DST-TD,footrope,center,liftoff,14:45:11,
2022-08-17,GP200F,Star Oddi DST-TD,footrope,center,touchdown,15:57:38,
2022-08-17,GP200F,Star Oddi DST-TD,footrope,center,liftoff,16:03:02,
2022-08-17,GP217F,Star Oddi DST-TD,footrope,center,touchdown,17:09:36,
2022-08-17,GP217F,Star Oddi DST-TD,footrope,center,liftoff,17:15:12,
2022-08-17,GP218F,Star Oddi DST-TD,footrope,center,touchdown,17:53:35,
2022-08-17,GP218F,Star Oddi DST-TD,footrope,center,liftoff,17:58:39,
2022-08-17,GP236F,Star Oddi DST-TD,footrope,center,touchdown,19:15:34,
2022-08-17,GP236F,Star Oddi DST-TD,footrope,center,liftoff,19:20:52,
2022-08-23,GP173F,Star Oddi DST-TD,footrope,center,touchdown,06:18:59,
2022-08-23,GP173F,Star Oddi DST-TD,footrope,center,liftoff,06:24:48,
2022-08-23,GP171F,Star Oddi DST-TD,footrope,center,touchdown,07:00:45,
2022-08-23,GP171F,Star Oddi DST-TD,footrope,center,liftoff,07:06:28,
2022-08-23,GP195F,Star Oddi DST-TD,footrope,center,touchdown,08:40:07,
2022-08-23,GP195F,Star Oddi DST-TD,footrope,center,liftoff,08:44:49,
2022-08-23,GP209F,Star Oddi DST-TD,footrope,center,touchdown,10:24:11,
2022-08-23,GP209F,Star Oddi DST-TD,footrope,center,liftoff,10:29:39,
2022-08-23,GP204F,Star Oddi DST-TD,footrope,center,touchdown,11:12:52,
2022-08-23,GP204F,Star Oddi DST-TD,footrope,center,liftoff,11:18:17,
2022-08-23,GP193F,Star Oddi DST-TD,footrope,center,touchdown,12:20:05,
2022-08-23,GP193F,Star Oddi DST-TD,footrope,center,liftoff,12:25:37,
2022-08-23,GP178F,Star Oddi DST-TD,footrope,center,touchdown,13:40:22,
2022-08-23,GP178F,Star Oddi DST-TD,footrope,center,liftoff,13:45:51,
2022-08-23,GP175F,Star Oddi DST-TD,footrope,center,touchdown,14:59:21,
2022-08-23,GP175F,Star Oddi DST-TD,footrope,center,liftoff,15:04:41,
2022-08-23,GP168F,Star Oddi DST-TD,footrope,center,touchdown,15:54:59,
2022-08-23,GP168F,Star Oddi DST-TD,footrope,center,liftoff,16:00:24,
2022-08-23,GP145F,Star Oddi DST-TD,footrope,center,touchdown,17:44:16,
2022-08-23,GP145F,Star Oddi DST-TD,footrope,center,liftoff,17:49:32,
2022-08-23,GP155F,Star Oddi DST-TD,footrope,center,touchdown,19:08:36,
2022-08-23,GP155F,Star Oddi DST-TD,footrope,center,liftoff,19:14:00,
2022-08-24,GP137F,Star Oddi DST-TD,footrope,center,touchdown,06:29:42,
2022-08-24,GP137F,Star Oddi DST-TD,footrope,center,liftoff,06:34:55,
2022-08-24,GP131F,Star Oddi DST-TD,footrope,center,touchdown,07:22:25,
2022-08-24,GP131F,Star Oddi DST-TD,footrope,center,liftoff,07:27:49,
2022-08-24,GP135F,Star Oddi DST-TD,footrope,center,touchdown,08:22:50,
2022-08-24,GP135F,Star Oddi DST-TD,footrope,center,liftoff,08:28:31,
2022-08-24,GP136FR1,Star Oddi DST-TD,footrope,center,touchdown,10:28:30,
2022-08-24,GP136FR1,Star Oddi DST-TD,footrope,center,liftoff,10:33:46,
2022-08-24,GP144F,Star Oddi DST-TD,footrope,center,touchdown,11:43:14,
2022-08-24,GP144F,Star Oddi DST-TD,footrope,center,liftoff,11:48:35,
2022-08-24,GP129F,Star Oddi DST-TD,footrope,center,touchdown,12:37:06,
2022-08-24,GP129F,Star Oddi DST-TD,footrope,center,liftoff,12:42:20,
2022-08-24,GP110F,Star Oddi DST-TD,footrope,center,touchdown,13:55:15,
2022-08-24,GP110F,Star Oddi DST-TD,footrope,center,liftoff,14:00:28,
2022-08-24,GP111F,Star Oddi DST-TD,footrope,center,touchdown,14:55:28,
2022-08-24,GP111F,Star Oddi DST-TD,footrope,center,liftoff,15:00:41,
2022-08-24,GP095F,Star Oddi DST-TD,footrope,center,touchdown,16:15:48,
2022-08-24,GP095F,Star Oddi DST-TD,footrope,center,liftoff,16:20:55,
2022-08-24,GP092F,Star Oddi DST-TD,footrope,center,touchdown,17:01:52,
2022-08-24,GP092F,Star Oddi DST-TD,footrope,center,liftoff,17:06:32,
2022-08-24,GP063F,Star Oddi DST-TD,footrope,center,touchdown,18:28:28,
2022-08-24,GP063F,Star Oddi DST-TD,footrope,center,liftoff,18:33:18,
2022-08-25,GP070F,Star Oddi DST-TD,footrope,center,touchdown,06:19:07,
2022-08-25,GP070F,Star Oddi DST-TD,footrope,center,liftoff,06:24:49,
2022-08-25,GP093FR1,Star Oddi DST-TD,footrope,center,touchdown,09:01:46,
2022-08-25,GP093FR1,Star Oddi DST-TD,footrope,center,liftoff,09:06:58,
2022-08-25,GP102F,Star Oddi DST-TD,footrope,center,touchdown,10:26:23,
2022-08-25,GP102F,Star Oddi DST-TD,footrope,center,liftoff,10:31:40,
2022-08-25,GP108F,Star Oddi DST-TD,footrope,center,touchdown,11:36:00,
2022-08-25,GP108F,Star Oddi DST-TD,footrope,center,liftoff,11:41:24,
2022-08-25,GP119F,Star Oddi DST-TD,footrope,center,touchdown,12:47:33,
2022-08-25,GP119F,Star Oddi DST-TD,footrope,center,liftoff,12:52:56,
2022-08-25,GP132F,Star Oddi DST-TD,footrope,center,touchdown,13:52:32,
2022-08-25,GP132F,Star Oddi DST-TD,footrope,center,liftoff,13:57:43,
2022-08-25,GP186F,Star Oddi DST-TD,footrope,center,touchdown,20:21:38,
2022-08-25,GP186F,Star Oddi DST-TD,footrope,center,liftoff,20:27:39,
2022-08-26,GP194F,Star Oddi DST-TD,footrope,center,touchdown,06:24:34,
2022-08-26,GP194F,Star Oddi DST-TD,footrope,center,liftoff,06:29:44,
2022-08-26,GP182F,Star Oddi DST-TD,footrope,center,touchdown,07:41:02,
2022-08-26,GP182F,Star Oddi DST-TD,footrope,center,liftoff,07:46:33,
2022-08-26,GP188F,Star Oddi DST-TD,footrope,center,touchdown,09:05:44,
2022-08-26,GP188F,Star Oddi DST-TD,footrope,center,liftoff,09:11:01,
2022-08-26,GP196F,Star Oddi DST-TD,footrope,center,touchdown,10:31:23,
2022-08-26,GP196F,Star Oddi DST-TD,footrope,center,liftoff,10:35:51,
2022-08-26,GP190F,Star Oddi DST-TD,footrope,center,touchdown,11:15:09,
2022-08-26,GP190F,Star Oddi DST-TD,footrope,center,liftoff,11:20:42,
2022-08-26,GP191FR1,Star Oddi DST-TD,footrope,center,touchdown,13:47:18,
2022-08-26,GP191FR1,Star Oddi DST-TD,footrope,center,liftoff,13:53:36,
