year,month,day,tow.id,crab.number,sex,shell.condition,body.part,colour.L,colour.a,colour.b
2017,7,25,GP135F,10,1,1,chela,64.43,-1.8,1.58
2017,7,25,GP135F,12,1,1,chela,59.95,-2.6,1.62
2017,7,25,GP135F,24,1,3M,chela,58.28,-1.64,11.55
2017,7,25,GP135F,26,1,3,chela,59.27,-1.92,7.81
2017,7,25,GP136F,7,1,1,chela,65.79,-3.31,2.16
2017,7,25,GP136F,16,1,2,chela,62.55,-2.08,-1.68
2017,7,25,GP136F,17,1,3,chela,57.24,0.32,12.5
2017,7,25,GP144F,34,1,2,chela,65.62,-3.14,0.73
2017,7,25,GP144F,36,1,3,chela,58.38,-2.06,9.44
2017,7,25,GP144F,37,1,1,chela,61.4,-2.17,-2.28
2017,7,25,GP144F,47,1,3M,chela,57.83,0.43,20.72
2017,7,25,GP129F,17,1,1,chela,67.76,-3.92,1.91
2017,7,25,GP129F,19,1,1,chela,61.07,-2.66,-1.49
2017,7,25,GP129F,37,1,2,chela,62.93,-3.07,0.64
2017,7,25,GP143F,2,1,1,chela,61.99,-1.63,-0.63
2017,7,23,GP076F,2,1,1,chela,67.82,-1.55,1.92
2017,7,23,GP076F,10,1,1,chela,66.76,-1.42,2.98
2017,7,23,GP076F,16,1,3,chela,56.92,0.85,10.52
2017,7,23,GP076F,19,1,2,chela,53.26,0.49,10.28
2017,7,23,GP076F,27,1,3,chela,44.06,3.13,17.88
2017,7,23,GP076F,28,1,2,chela,47.08,2.42,10.67
2017,7,23,GP061F,2,1,3,chela,54.53,3.1,19.34
2017,7,23,GP061F,3,1,3,chela,61.9,-0.44,11.01
2017,7,23,GP061F,60,1,2,chela,57.14,0.16,6.54
2017,7,23,GP061F,64,1,4,chela,50.45,2.22,14.94
2017,7,23,GP061F,66,1,4,chela,49.18,2.18,12.79
2017,7,23,GP061F,68,1,1,chela,64.67,-2.46,0.13
2017,7,23,GP061F,73,1,1,chela,68.91,-2.87,-0.28
2017,7,23,GP061F,79,1,3M,chela,57.76,0.49,10.62
2017,7,23,GP049F,7,1,1,chela,64.81,-2.19,0.18
2017,7,23,GP049F,8,1,1,chela,60.59,-2.04,-1.51
2017,7,23,GP026F,24,1,1,chela,61.71,-1.51,-1.94
2017,7,23,GP026F,28,1,1,chela,60.13,-1.16,-0.95
2017,7,23,GP026F,55,1,2,chela,66.3,-1.97,3.62
2017,7,23,GP024F,5,1,1,chela,62.34,0.37,-3.25
2017,7,23,GP024F,10,1,3,chela,55.97,0.39,15.92
2017,7,23,GP024F,12,1,1,chela,62.82,-0.83,-0.09
2017,7,20,GP226A1,1,1,1,chela,61.13,-1.52,-1.76
2017,7,20,GP220F,12,1,1,chela,63.55,-1.59,0.02
2017,7,20,GP220F,20,1,1,chela,62.95,-0.09,1.74
2017,7,20,GP220F,28,1,3,chela,64.7,-2.75,12.39
2017,7,20,GP220F,52,1,3,chela,54.77,-0.6,9.53
2017,7,20,GP214F,1,1,1,chela,65.65,-3.39,1.71
2017,7,20,GP214F,3,1,1,chela,62.56,-2.04,4.44
2017,7,20,GP214F,30,1,2,chela,63.51,-2.89,0.02
2017,7,20,GP197A2,4,1,1,chela,58.37,-0.07,-0.66
2017,7,20,GP197A2,13,1,1,chela,67.2,-0.05,1.25
2017,7,20,GP197A2,38,1,2,chela,63.47,-2.45,-0.41
2017,7,20,GP192F,23,1,1,chela,69.59,-0.89,2.76
2017,7,20,GP174F,10,1,2,chela,57.48,-0.66,1.34
2017,7,20,GP174F,13,1,1,chela,59.49,0.99,1.51
2017,7,20,GP170F,1,1,2,chela,64.16,-2.44,-0.24
2017,7,20,GP170F,2,1,2,chela,65.86,-3.07,2.17
2017,7,20,GP170F,3,1,1,chela,54.99,-1.36,1.58
2017,7,20,GP170F,5,1,1,chela,60.65,-2.11,0.09
2017,7,20,GP170F,207,1,3,chela,60.01,-2.11,5.47
2017,7,22,GP084F,1,1,1,chela,61.7,-2.22,-1.19
2017,7,22,GP084F,4,1,1,chela,64.74,-0.63,2.85
2017,7,22,GP084F,26,1,2,chela,62.02,-2.36,0.07
2017,7,22,GP077F,2,1,1,chela,65.77,-1.59,-0.43
2017,7,22,GP068F,4,1,1,chela,58.92,-2.5,2.14
2017,7,22,GP068F,9,1,1,chela,57.94,-1.54,-1.22
2017,7,21,GP162F,6,1,1,chela,66.7,-0.36,3.18
2017,7,21,GP162F,12,1,1,chela,63.07,-1.67,1.57
2017,7,21,GP154F,57,1,1,chela,61.82,-2.45,0.65
2017,7,21,GP154F,91,1,1,chela,61.57,-2.33,-0.28
2017,7,21,GP154F,101,1,2,chela,63.94,-2.71,0.86
2017,7,21,GP154F,103,1,4,chela,47.14,2.49,11.85
2017,7,21,GP154F,107,1,4,chela,43.42,4.95,18.75
2017,7,21,GP133F,22,1,2,chela,66.27,-2.44,0.59
2017,7,21,GP133F,23,1,1,chela,64.89,-2.39,-0.21
2017,7,21,GP133F,43,1,1,chela,67.4,-2.83,1.86
2017,7,21,GP141F,75,1,1,chela,59.68,-1.66,-0.16
2017,7,21,GP141F,85,1,1,chela,64.81,-2.78,1.96
2017,7,21,GP128A2,14,1,1,chela,59.64,-1.11,2.63
2017,7,21,GP099F,15,1,1,chela,58.69,-1.71,-1.37
2017,7,21,GP099F,25,1,1,chela,65.56,-1.77,-0.6
2017,7,21,GP099F,26,1,2,chela,62.62,-2.24,-0.25
2017,7,21,GP099F,42,1,3,chela,67.91,-1.53,9.97
2017,7,21,GP099F,43,1,3,chela,63.88,-1.78,9.79
2017,7,21,GP094F,22,1,1,chela,65.53,-2.82,0.25
2017,7,21,GP094F,23,1,1,chela,66.77,-3.03,-0.48
2017,7,21,GP113F,5,1,1,chela,61.46,-0.57,-1.78
2017,7,21,GP113F,16,1,1,chela,63.47,-2.58,-0.46
2017,7,21,GP113F,32,1,2,chela,55.36,-1.9,-0.69
2017,7,21,GP113F,41,1,3,chela,60.72,-1.64,9.11
